,Unnamed: 0,make_model,body_type,price,vat,km,hp,type,gearing_type,displacement,fuel,co2_emission,comfort&convenience,entertainment&media,extras,safety&security,gears,age_of_car,Inspection,warranty_,cons_comb,cons_city,cons_country,co2_emission6,Upholstery_Type
142,142,Audi A1,Sedans,18200,VAT deductible,16500.0,85.0,Used,Automatic,,Benzine,,"Air conditioning,Air suspension,Armrest,Automatic climate control,Auxiliary heating,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Split rear seats,Start-stop system,Tinted windows,Wind deflector","['Bluetooth', 'CD player', 'Digital radio', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Shift paddles', 'Sport package', 'Sport suspension', 'Voice Control']","['ABS', 'Adaptive Cruise Control', 'Adaptive headlights', 'Alarm system', 'Central door lock', 'Central door lock with remote control', 'Daytime running lights', 'Driver drowsiness detection', 'Driver-side airbag', 'Electronic stability control', 'Emergency system', 'Fog lights', 'Head airbag', 'Isofix', 'LED Daytime Running Lights', 'LED Headlights', 'Night view assist', 'Passenger-side airbag', 'Power steering', 'Rear airbag', 'Side airbag', 'Tire pressure monitoring system', 'Traction control', 'Xenon headlights']",6.0,1.0,No,,,,,,Cloth
767,767,Audi A1,Sedans,20900,,15097.0,70.0,Used,Automatic,,other_fuel,,"Air conditioning,Automatic climate control,Cruise control",['On-board computer'],,['Electronic stability control'],,1.0,No,,,,,,
980,980,Audi A1,Compact,21100,,,85.0,New,Automatic,,other_fuel,,"Air conditioning,Heads-up display,Power windows,Split rear seats",['Radio'],['Alloy wheels'],"['ABS', 'Alarm system', 'Central door lock', 'Driver-side airbag', 'Fog lights', 'Immobilizer', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",6.0,,No,,,,,,
1937,1937,Audi A1,Compact,28490,VAT deductible,,85.0,New,Automatic,,other_fuel,110.0,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system",['Sound system'],['Alloy wheels'],"['Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Lane departure warning system', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system']",,,No,,4.0,5.9,4.2,110.0,Cloth
1951,1951,Audi A1,Compact,27980,VAT deductible,,85.0,New,Automatic,,other_fuel,110.0,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system",['Sound system'],['Alloy wheels'],"['Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Lane departure warning system', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system']",,,No,,4.0,5.9,4.2,110.0,Cloth
2402,2402,Audi A1,Compact,17780,VAT deductible,,70.0,New,Manual,,other_fuel,97.0,"Air conditioning,Automatic climate control,Electrical side mirrors,Power windows",['Radio'],,"['ABS', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Immobilizer', 'Passenger-side airbag', 'Power steering', 'Side airbag', 'Tire pressure monitoring system', 'Traction control']",,,No,,4.0,5.0,3.7,97.0,
3012,3012,Audi A3,Other,15500,,30005.0,81.0,Used,Manual,,Benzine,,,,,"['ABS', 'Passenger-side airbag']",,3.0,No,,,,,,
3913,3913,Audi A3,Sedans,20440,,24000.0,9.0,Used,Automatic,,Benzine,,,,,,,2.0,No,,,,,,
3976,3976,Audi A3,Station wagon,19900,VAT deductible,32000.0,81.0,Employee's car,Automatic,,Benzine,,"Air conditioning,Armrest,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats","['Bluetooth', 'CD player', 'Digital radio', 'Hands-free equipment', 'MP3', 'On-board computer', 'Radio', 'Sound system', 'USB']","['Alloy wheels', 'Catalytic Converter', 'Sport seats']","['ABS', 'Alarm system', 'Central door lock', 'Daytime running lights', 'Driver-side airbag', 'Electronic stability control', 'Fog lights', 'Head airbag', 'Immobilizer', 'Isofix', 'LED Daytime Running Lights', 'LED Headlights', 'Passenger-side airbag', 'Power steering', 'Rear airbag', 'Side airbag', 'Tire pressure monitoring system', 'Traffic sign recognition', 'Xenon headlights']",6.0,1.0,No,,,,,,Cloth
4090,4090,Audi A3,Sedans,19500,,32000.0,85.0,Used,Manual,,Benzine,,"Air conditioning,Armrest,Automatic climate control,Leather steering wheel,Multi-function steering wheel,Navigation system,Start-stop system","['Bluetooth', 'CD player', 'Hands-free equipment', 'Radio', 'USB']","['Alloy wheels', 'Sport package', 'Sport seats', 'Sport suspension', 'Voice Control']","['ABS', 'Electronic stability control', 'Power steering']",,2.0,No,,,,,,
